hardware,embedding,horizon,lambda,time
fake_guadalupe,0,4,0.92664288333310466054400000000000000000000000000000000000000000000000000000000000,22
fake_guadalupe,0,5,0.95283860286957308670140160000000000000000000000000000000000000000000000000000000,98
fake_guadalupe,0,6,0.97273052302057055125321496064000000000000000000000000000000000000000000000000000,434
fake_guadalupe,0,7,0.98151613669547288184548142959769600000000000000000000000000000000000000000000000,1892
fake_guadalupe,1,4,0.92881643800802561966800000000000000000000000000000000000000000000000000000000000,21
fake_guadalupe,1,5,0.95514568874287901607561520000000000000000000000000000000000000000000000000000000,98
fake_guadalupe,1,6,0.97513896780375471579275504608000000000000000000000000000000000000000000000000000,434
fake_guadalupe,1,7,0.98396936205288579149396486376611200000000000000000000000000000000000000000000000,1891
fake_guadalupe,2,4,0.97563463847715377372640000000000000000000000000000000000000000000000000000000000,21
fake_guadalupe,2,5,0.98219841718812469580382432000000000000000000000000000000000000000000000000000000,98
fake_guadalupe,2,6,0.98649843423618667256442426278400000000000000000000000000000000000000000000000000,435
fake_guadalupe,2,7,0.98695194539866378648351974132576000000000000000000000000000000000000000000000000,1892
fake_guadalupe,3,4,0.96461051380160859914340000000000000000000000000000000000000000000000000000000000,22
fake_guadalupe,3,5,0.97994266075707818291513220000000000000000000000000000000000000000000000000000000,98
fake_guadalupe,3,6,0.98286639896717319607650971899200000000000000000000000000000000000000000000000000,435
fake_guadalupe,3,7,0.98472382172266761030306983026960800000000000000000000000000000000000000000000000,1893
