hardware,embedding,horizon,lambda,time
fake_cambridge,0,4,0.50696157835257095616000000000000000000000000000000000000000000000000000000000000,17
fake_cambridge,0,5,0.50974620969439933862400000000000000000000000000000000000000000000000000000000000,80
fake_cambridge,0,6,0.51031775527730961412473600000000000000000000000000000000000000000000000000000000,352
fake_cambridge,0,7,0.51190958978386580896028160000000000000000000000000000000000000000000000000000000,1534
fake_cambridge,1,4,0.85385450337362818908800000000000000000000000000000000000000000000000000000000000,18
fake_cambridge,1,5,0.85597760150993972622252800000000000000000000000000000000000000000000000000000000,80
fake_cambridge,1,6,0.90532777561890703476949683200000000000000000000000000000000000000000000000000000,352
fake_cambridge,1,7,0.90625451588466389818324630400000000000000000000000000000000000000000000000000000,1533
fake_cambridge,2,4,0.60375618334874564146300000000000000000000000000000000000000000000000000000000000,18
fake_cambridge,2,5,0.65750113220374640458647400000000000000000000000000000000000000000000000000000000,79
fake_cambridge,2,6,0.68059322428066683933108665200000000000000000000000000000000000000000000000000000,352
fake_cambridge,2,7,0.68534776768693682905491895549600000000000000000000000000000000000000000000000000,1532
fake_cambridge,3,4,0.91639098422370146816000000000000000000000000000000000000000000000000000000000000,18
fake_cambridge,3,5,0.92555158296062290045952000000000000000000000000000000000000000000000000000000000,79
fake_cambridge,3,6,0.93000530688818361136295936000000000000000000000000000000000000000000000000000000,351
fake_cambridge,3,7,0.93091715312993110673405358080000000000000000000000000000000000000000000000000000,1530
fake_cambridge,4,4,0.94513688596753465241600000000000000000000000000000000000000000000000000000000000,17
fake_cambridge,4,5,0.95492989745882041476915200000000000000000000000000000000000000000000000000000000,79
fake_cambridge,4,6,0.95969108159112916541139353600000000000000000000000000000000000000000000000000000,351
fake_cambridge,4,7,0.96066587795497175019602628608000000000000000000000000000000000000000000000000000,1527
