hardware,embedding,horizon,lambda,time
fake_prague,0,2,1.00000000000000000000000000000000000000000000000000000000,0
fake_prague,0,3,1.00000000000000000000000000000000000000000000000000000000,1
fake_prague,0,4,1.00000000000000000000000000000000000000000000000000000000,8
fake_prague,0,5,1.00000000000000000000000000000000000000000000000000000000,49
fake_prague,0,6,1.00000000000000000000000000000000000000000000000000000000,316
fake_prague,1,2,1.00000000000000000000000000000000000000000000000000000000,0
fake_prague,1,3,1.00000000000000000000000000000000000000000000000000000000,1
fake_prague,1,4,1.00000000000000000000000000000000000000000000000000000000,8
fake_prague,1,5,1.00000000000000000000000000000000000000000000000000000000,50
fake_prague,1,6,1.00000000000000000000000000000000000000000000000000000000,317
